                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.328,                  2.326,                 1.5033,                0.39914,                0.64286,                0.54196,                0.34324,                 1.0158,                 2.7302,                 1.2946,             0.00020006,             0.00020006,             0.00020006
                      1,                 1.1668,                 1.3835,                 1.3725,                0.64754,                0.72558,                0.73479,                0.50756,                 1.0333,                 2.0677,                 1.3193,               0.000398,               0.000398,               0.000398
                      2,                 1.1408,                 1.1269,                 1.3288,                0.74057,                0.79283,                0.82342,                0.58759,                 1.0702,                 2.0331,                 1.3653,             0.00057896,             0.00057896,             0.00057896
                      3,                 1.1258,                 1.1781,                 1.2952,                0.56241,                0.84207,                0.74811,                0.47608,                 1.2237,                 5.2532,                 1.4649,             0.00074295,             0.00074295,             0.00074295
                      4,                 1.1546,                 1.0514,                 1.3113,                0.62897,                0.58784,                0.65098,                0.39266,                 1.4118,                 2.6298,                 1.6365,             0.00088996,             0.00088996,             0.00088996
                      5,                 1.1289,                 1.0134,                 1.2997,                0.73465,                0.75556,                0.77235,                0.51152,                 1.1233,                 1.5856,                 1.4181,                0.00102,                0.00102,                0.00102
                      6,                 1.1127,                  1.025,                 1.3026,                0.79183,                0.67857,                0.76633,                 0.5136,                 1.1417,                 1.1607,                 1.4527,              0.0010895,              0.0010895,              0.0010895
                      7,                 1.0993,                 0.9568,                 1.2821,                0.69074,                0.70645,                0.78158,                0.53499,                 1.1609,                 1.4748,                  1.456,              0.0010895,              0.0010895,              0.0010895
                      8,                 1.0206,                0.92876,                 1.2238,                0.73048,                0.69325,                0.74624,                0.47731,                 1.1702,                 1.4367,                 1.4542,              0.0010329,              0.0010329,              0.0010329
                      9,                 1.1092,                0.96247,                 1.2844,                0.72851,                0.69114,                0.73814,                0.47556,                 1.1859,                 1.1951,                 1.4176,             0.00097629,             0.00097629,             0.00097629
                     10,                 1.0767,                0.88395,                 1.2511,                0.86243,                0.78876,                0.86144,                0.57612,                 1.1199,                 1.0784,                 1.4329,              0.0009197,              0.0009197,              0.0009197
                     11,                 1.0167,                0.85749,                 1.2266,                0.77001,                0.87632,                0.83785,                0.57341,                 1.1128,                 1.1734,                 1.4129,             0.00086312,             0.00086312,             0.00086312
                     12,                0.98861,                0.80569,                 1.1893,                0.74678,                0.81752,                0.83371,                0.58766,                  1.041,                0.92944,                 1.3154,             0.00080653,             0.00080653,             0.00080653
                     13,                0.97906,                 0.8199,                 1.1875,                0.86124,                  0.816,                0.85807,                0.60385,                 1.0823,                0.88547,                 1.3587,             0.00074994,             0.00074994,             0.00074994
                     14,                0.94335,                0.74112,                 1.1697,                0.87711,                0.82887,                0.88326,                0.65084,                 1.0136,                0.80851,                 1.3025,             0.00069335,             0.00069335,             0.00069335
                     15,                0.96238,                0.77246,                 1.1849,                0.83274,                0.85794,                0.89405,                0.62962,                 1.0595,                0.79669,                 1.3402,             0.00063676,             0.00063676,             0.00063676
                     16,                0.93658,                  0.732,                 1.1732,                0.83152,                0.88655,                0.89593,                0.64652,                 1.0279,                0.74725,                 1.3013,             0.00058017,             0.00058017,             0.00058017
                     17,                0.90571,                0.69694,                 1.1479,                0.83474,                 0.8574,                0.89212,                 0.6492,                 1.0433,                0.72395,                 1.2689,             0.00052359,             0.00052359,             0.00052359
                     18,                0.93145,                0.72386,                 1.1743,                0.83641,                0.82536,                0.88889,                0.65029,                 1.0513,                 0.7165,                 1.2818,               0.000467,               0.000467,               0.000467
                     19,                0.88833,                0.70412,                  1.147,                0.87665,                0.84643,                0.92015,                0.67786,                0.98298,                0.62938,                 1.2383,             0.00041041,             0.00041041,             0.00041041
                     20,                0.88432,                0.65863,                 1.1447,                0.89026,                0.87001,                0.93945,                0.70064,                 0.9595,                 0.6107,                 1.2401,             0.00035382,             0.00035382,             0.00035382
                     21,                0.81968,                0.63063,                  1.109,                0.89447,                0.89451,                0.93587,                0.69498,                0.93934,                0.59778,                 1.2153,             0.00029723,             0.00029723,             0.00029723
                     22,                0.89345,                0.65097,                 1.1265,                0.91045,                0.86135,                0.92386,                0.68638,                0.98091,                0.65508,                 1.2383,             0.00024064,             0.00024064,             0.00024064
                     23,                0.83996,                0.64692,                 1.1245,                0.89566,                0.88559,                0.94118,                0.70524,                0.95616,                0.60893,                  1.227,             0.00018406,             0.00018406,             0.00018406
                     24,                0.79736,                0.58852,                 1.0994,                0.91132,                0.90923,                0.94343,                0.70213,                0.94836,                 0.5888,                  1.215,             0.00012747,             0.00012747,             0.00012747
